ringnr;recapture;capture_method;Sex;Age;age_nestling;day;month;year;time_hour;time_min;time_ringing;location;broodID;xCoord;yCoord;Wing;method_wing;P1;P8;Tarsus;tail;weight;Fat;Muscle;Bill_length;Bill_width;Bill_height;ringer;ring_owner;owner;salivary_swap;sex_genetics
N   630789;recapture;nestbox;;1;5;2;6;2020;13;39;;Furkapass;Furka13_20;675296;158822;NA;;NA;NA;NA;NA;16.2;NA;NA;NA;NA;NA;;;SOI;;F
N   630789;recapture;nestbox;;1;18;15;6;2020;9;5;;Furkapass;Furka13_20;675296;158822;85;;NA;NA;NA;NA;35.6;NA;NA;NA;NA;NA;SD;;SOI;yes;F
N   630789;recapture;nestbox;;1;11;8;6;2020;13;44;;Furkapass;Furka13_20;675296;158822;NA;;NA;NA;22.7;NA;29.2;NA;NA;NA;NA;NA;CSch;SD;SOI;;F
N   630789;recapture;nestbox;;1;8;5;6;2020;16;20;;Furkapass;Furka13_20;675296;158822;NA;;NA;NA;NA;NA;24;NA;NA;NA;NA;NA;;;SOI;;F
N   630789;recapture;nestbox;;1;15;12;6;2020;14;53;;Furkapass;Furka13_20;675296;158822;NA;;NA;NA;NA;NA;33.1;NA;NA;NA;NA;NA;CSch;;SOI;;F
N   630790;recapture;nestbox;;1;15;12;6;2020;15;0;;Furkapass;Furka13_20;675296;158822;NA;;NA;NA;NA;NA;34.6;NA;NA;NA;NA;NA;CSch;;SOI;;M
N   630790;recapture;nestbox;;1;18;15;6;2020;9;10;;Furkapass;Furka13_20;675296;158822;82;;NA;NA;NA;NA;38.5;NA;NA;NA;NA;NA;SD;;SOI;;M
N   630790;first capture;nestbox;;1;1;29;5;2020;11;20;;Furkapass;Furka13_20;675296;158822;NA;;NA;NA;NA;NA;2.5;NA;NA;NA;NA;NA;;;SOI;;M
N   630790;recapture;white mistnet;0;4;NA;7;2;2021;10;20;;Tiefenbach;;678403;160664;NA;;NA;NA;NA;NA;52.5;5;2;NA;NA;NA;SD;SD;SOI;no;M
N   630790;recapture;nestbox;;1;8;5;6;2020;16;10;;Furkapass;Furka13_20;675296;158822;NA;;NA;NA;NA;NA;27;NA;NA;NA;NA;NA;;;SOI;;M
N   630790;recapture;nestbox;;1;5;2;6;2020;13;36;;Furkapass;Furka13_20;675296;158822;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;SOI;;M
N   630790;recapture;nestbox;;1;11;8;6;2020;13;36;;Furkapass;Furka13_20;675296;158822;NA;;NA;NA;23.4;NA;31.6;NA;NA;NA;NA;NA;CSch;SD;SOI;yes;M
N   630791;first capture;white mistnet;;4;NA;15;3;2021;8;50;;Arosa;;769184;182582;122;;NA;94;23.1;NA;36.5;2;2;11.6;NA;NA;SD;SD;SOI;yes;M
N   630792;first capture;white mistnet;;4;NA;15;3;2021;9;52;;Arosa;;769184;182582;122;;NA;92;22.9;NA;38;2;2;11.9;7;8.2;SD;SD;SOI;yes;M
